,Reggaeton,FMG | Reggaeton,41,"19,576,905","477,485",Cũ,Trung bình,1,"Đây là dòng nhạc đã có thị trường riêng và vẫn có người nghe tốt, nhưng quy mô hiện tại chưa mạnh bằng các dòng phía trên.",Khá cao,4,"Phù hợp vì beat dễ chuẩn hóa và dễ làm theo hướng dance, giải trí và nghe nền.","57,57%",42.43%,,5,"Tín hiệu gia nhập tốt nhất nhóm, còn khoảng trống cho người mới.",Cao,5,"Bắt tai, dễ tiếp cận, hợp gu số đông nếu đi theo hướng phổ thông.",15,"- Reggaeton có lợi thế nhờ xu hướng tăng trưởng mạnh của thị trường Latin trên streaming, giúp tiềm năng phát triển không chỉ dừng ở YouTube. Tuy nhiên thị trường có nhiều biến động, nhiều kênh trên thị trường đổi nội dung hoặc chết",
,Country,FMG | Country Music,66,"10,574,973","160,227",1-2 năm trước,Trung bình,1,"Đây là dòng nhạc có tệp khán giả riêng nhưng quy mô còn nhỏ hơn đáng kể so với các dòng còn lại. Thị trường có tồn tại, nhưng chưa phải nhóm mạnh.",Trung bình thấp,1,"Không phải dòng mạnh cho AI vì cần nhiều chất mộc, giọng hát thật và cảm xúc kể chuyện.","62,91%",37.09%,,3,"Vẫn còn cửa vào, nhưng không mở bằng R&B và Reggaeton.",Trung bình,2,Có tệp nghe riêng nhưng không phải dòng nhạc hợp với số đông trên diện rộng.,7,"- Country có thị trường riêng và tệp khán giả đặc thù. 
- Dòng nhạc còn phụ thuộc nhiều vào storytelling, persona và giọng hát.",
,Các dòng nhạc ngách,,,,,,,,,,,,,,,,,,,,,,
T7,Rap & Bluesy Hip-Hop,FMG | Rap & Bluesy Hip-Hop,27,"3,055,779","113,177",<1 năm,Trung bình khá,2,"Ngách thị trường đã bị thu nhỏ và view giảm mạnh từ hơn 11tr -> ~3tr views, kênh mới vào không có views cũng như thị trường đã đào thải rất nhiều kênh",Rất cao,5,"Rất phù hợp vì màu nhạc rõ, dễ mở rộng thành nhiều phiên bản và hợp với mô hình nội dung dài.",77.43%,22.57%,,2,Thị trường hết trend và không còn thu hút người nghe. View các kênh vẫn còn nhưng không bứt phá,Khá cao,4,"Dễ chạm vào nhóm người nghe trẻ, hợp các nội dung mood buồn và dễ tiếp cận.",13,,
,Blues Soul,FMG | Blues & Soul,26,"6,263,338","240,898",Cũ,Khá lớn,3,"Có quy mô tốt, thị trường đã hình thành và nhu cầu khá ổn định.",Khá cao,4,"Phù hợp nếu có biên tập tốt, vì AI làm được nền nhạc nhưng vẫn cần giữ chiều sâu cảm xúc.",68.02%,31.98%,Khá,3,"Vẫn còn cửa vào, nhưng cần làm khác biệt để cạnh tranh tốt hơn.",Trung bình,2,Có chiều sâu cảm xúc nhưng gu nghe vẫn hơi chọn lọc hơn số đông.,12,,
T7,Jazz hop,FMG | Jazz Hop,30,"6,013,968","200,466",<1 năm,Khá lớn,3,"- So với tháng 3 thì số lượng views thị trường không có biến động nhiều. 
- Lượng kênh mới tham gia vào thị trường ít",Rất cao,5,"Rất phù hợp với AI và đặc biệt hợp với video dài, livestream dài, nhạc học tập và thư giãn.",70.41%,29.59%,Cao,2,"Mức độ tập trung cao, dư địa cho người mới không còn nhiều.",Khá cao,4,"Dễ nghe, hợp học tập, làm việc và nghe nền nên khá gần gu phổ thông.",14,,"- Thị trường mới nổi từ đầu năm 2026, với nhiều kênh mới tham gia nhưng vẫn đạt lượng view cao dù sub còn thấp. 
- Điều này cho thấy khả năng viral lớn và cơ hội tăng trưởng nhanh cho các kênh mới. 
- Phần lớn nội dung trong thị trường này đều tận dụng nhạc AI"
T7,Trap Soul (Soul R&B),FMG | Trap Soul ,19,"3,054,435","160,760",<1 năm,Trung bình,1,"- Thị trường giảm từ 4,4tr -> 3tr, số lượng kênh không đổi.
- Views gần như thuộc về top 3 kênh của thị trường.",Trung bình,2,"Phù hợp vì dễ làm theo mood buồn, chill hoặc đêm khuya, đồng thời dễ tạo nhiều bản tương tự.",92.42%,7.58%,,1,"View dồn mạnh vào nhóm kênh lớn, cửa cho người mới rất hẹp.",Khá cao,4,"Hợp nhóm khán giả trẻ yêu thích mood buồn, chill và tình cảm.",8,,"- Thị trường đã có nhu cầu rõ và quy mô đủ tốt để khai thác, nhưng chưa phải nhóm ngách tăng trưởng mạnh nhất. 
- Phù hợp để làm theo hướng ổn định, bền và giữ chất lượng nghe, hơn là kỳ vọng bùng nổ nhanh về quy mô."
,Groove pop,FMG | Groove Pop,10,"4,353,528","435,353",<1 năm,Khá lớn,3,"Số kênh ít nhưng sức nghe tốt, cho thấy thị trường có chất lượng cao.",Rất cao,5,"Rất phù hợp vì dễ nghe, hợp gu số đông và dễ sản xuất số lượng lớn bằng AI.",66.11%,33.89%,Khá,3,"Thị trường vẫn còn mở ở mức nhất định, người mới có thể chen vào.",Cao,5,"Dễ nghe, bắt tai và gần với gu phổ thông nhất trong nhóm ngách.",16,,"- Thị trường chung mood Groove (vui tươi, tích cực), là một concept mới nổi trong khoảng nửa năm gần đây. "
T7,Soul Funk,FMG | Soul Funk,79,"5,693,084","98,157",Đầu năm 2026,Trung bình khá,2,"- Nhiều kênh với lượng xem duy trì ở mức vừa phải (10k - 100k views). 
- Không có kênh nào quá vượt trội so với thị trường chung.
- Khoảng 20 kênh mới có lượng xem dưới 1000 views.",Khá cao,3,"Khá phù hợp vì có nhịp groove rõ, nhưng cần chỉnh tốt để nhạc không bị cứng và thiếu tự nhiên.",60.69%,39.31%,,3,"Chưa quá chật, vẫn còn cơ hội cho kênh mới tham gia.",Trung bình khá,3,"Có sức nghe tốt nhưng màu nhạc khá rõ, chưa thật sự đại trà.",11,,"- Thị trường nhạc Trap Soul hiện nay chủ yếu là các sản phẩm có lời được sản xuất bằng công nghệ AI. 
- Nhóm dẫn đầu gồm 3 kênh lớn đạt trong cột mốc khoảng 1 triệu views đều tập trung vào phân khúc nhạc cover, các kênh còn lại đa phần vẫn đang vận hành dựa trên nguồn nhạc do AI tạo ra nhưng chưa bứt phá về lượt xem."
T7,Christian Blues,FMG | Christian Blues/Soul,53,"10,573,212","199,495",<1 năm,Khá lớn,3,"- Thị trường tăng từ 3tr -> 10tr views, số lượng kênh tăng
- Trong 6 tháng gần đây, thị trường ghi nhận nhiều kênh mới bắt đầu khai thác dòng nhạc này.
- Trong 3 tháng gần đây đã có 4 kênh mới tham gia vào thị trường đạt trên 300k lượt xem",Trung bình khá,4,Có thể làm bằng AI đối với dòng nhạc có lời,61.80%,38.20%,Cao,2,"Thị trường chưa bị khóa chặt, người mới vẫn có thể vào.",Trung bình,3,"Có tệp nghe riêng, dễ tác động đến nhiều tệp khách hàng khác nhau trên toàn thế giới. ",12,,"- Thị trường chưa đông nhưng nhu cầu đã hình thành rõ.
- Vừa dễ tiếp cận gu số đông, vừa phù hợp với sản xuất AI hàng loạt
- Các kênh có thể linh hoạt kết hợp nhiều thể loại trong cùng nội dung, không bị giới hạn bởi một genre cụ thể, dù Groove Pop vẫn là dòng phổ biến nhất."
T7,Jazz house,FMG | Jazz house,23,"4,858,857","211,255",1-2 năm trước,Nhỏ đến trung bình,2,"- Nhiều kênh mới tham gia thị trường trong 2–4 tháng gần đây, tuy nhiên phần lớn vẫn có lượng xem ở mức thấp đến trung bình; chỉ một số ít kênh tăng trưởng nổi bật, cao nhất gần 500K views/tháng sau 2 tháng.",Rất cao,5,"Rất phù hợp vì dễ làm bản mix dài, hợp không khí lounge, cafe, thời trang và livestream.",75.18%,24.82%,Cao,2,"Cạnh tranh cao, người mới cần có điểm khác biệt rõ.",Trung bình khá,3,"Dễ nghe trong bối cảnh lounge, cafe, thời trang nhưng chưa phải gu đại trà.",12,,"- Dễ nghe, có màu sắc riêng và phù hợp với các nội dung nghe nền hoặc mix dài trên YouTube. 
- Tuy chưa phải ngách quá lớn, nhưng nếu làm đúng hướng thì vẫn có thể khai thác ổn định và tạo ra lượng nghe đều."
,R&B / Neo Soul (mix),FMG | R&B / Neo Soul (mix),5,"1,826,224","365,245",1-2 năm trước,Nhỏ nhưng hiệu quả,2,"Quy mô nhỏ, nhưng mức nghe trên mỗi kênh khá tốt.",Khá cao,4,"Phù hợp với nội dung dài và nghe nền, nhưng cần gu hòa âm tốt để giữ được chất lượng.",33.33%,66.67%,Tốt,4,"Thị trường còn mở, người mới có cơ hội chen vào rõ hơn.",Trung bình khá,3,"Hợp nhóm người nghe có gu, nhưng chưa phải dòng phổ thông nhất.",13,"- Phù hợp với các nhu cầu nghe như chill, thư giãn, làm việc, buổi tối và BGM, nên dễ giữ người nghe trong các video dài hoặc live dài.
- Quy mô thị trường hiện tại còn nhỏ","Các kênh đều mới (≈1 năm) nhưng đã đạt view tương đối, cho thấy thị trường còn tiềm năng. Đây là cơ hội rõ ràng để kênh mới tham gia và chiếm top."
,Violin x metal,FMG | Violin x metal,9,"1,605,192","178,355",1-2 năm trước,Nhỏ,1,"Là ngách hẹp, mức độ phổ biến chưa cao.",Trung bình,2,"Có thể tạo sự khác biệt, nhưng khó làm đều và khó mở rộng thành sản lượng lớn.",43.94%,56.06%,Tốt,4,"Cạnh tranh chưa cao, vẫn còn khoảng trống cho người mới.",Thấp,1,"Là ngách khá kén người nghe, khó hợp với số đông.",8,"Thị trường Violin x Hip-hop còn ít kênh nhưng đã có lượng view đáng kể, cho thấy nhu cầu tồn tại và chưa bão hòa. Các kênh chủ yếu được lập khoảng 1 năm trở lại đây",Phần lớn các kênh views cao đều đổ vào kênh của nghệ sĩ
,Violin x hip hop,FMG | Violin x hip hop,7,"1,429,827","204,261",<1 năm,Nhỏ,1,Có tệp nghe riêng nhưng quy mô hiện tại còn nhỏ.,Trung bình khá,3,"Có thể làm như một ngách phụ, phù hợp với nội dung instrumental hoặc chill urban.",74.32%,25.68%,Yếu,2,"Thị trường khá tập trung, cơ hội gia nhập không lớn.",Trung bình,2,"Có thể tiếp cận một phần khán giả trẻ, nhưng vẫn là concept khá ngách.",8,,"- Phù hợp với các nhu cầu nghe như chill, thư giãn, làm việc, buổi tối và BGM, nên dễ giữ người nghe trong các video dài hoặc live dài.
- Quy mô thị trường hiện tại còn nhỏ"
,Dance Pop,FMG | Dance Pop,5,"628,526","125,705",<1 năm,Rất nhỏ,0.5,"Là ngách nhỏ nhất trong nhóm, sức nghe còn hạn chế.",Trung bình,2,Làm được bằng AI nhưng không phải lựa chọn tốt nhất cho video dài và livestream dài.,45.49%,54.51%,Tốt,4,"Đây là ngách còn mở, người mới có thể tham gia nếu làm đúng hướng.",Cao,5,"Dễ nghe, dễ bắt tai và gần với gu số đông nhất.",11.5,"Ít kênh làm thuần về dòng này, chủ yếu các video lẻ do DJ đánh. Những kênh làm thuần về dòng này phần lớn sử dụng nhạc AI nhưng đạt lượng views thấp do Dance Pop không còn tồn tại dưới dạng các video dài trên YouTube nữa. Dance Pop hiện nay thành công nhờ các đoạn hook 15-30 giây trên TikTok và YouTube Shorts.","Thị trường Violin x Hip-hop còn ít kênh nhưng đã có lượng view đáng kể, cho thấy nhu cầu tồn tại và chưa bão hòa. Các kênh chủ yếu được lập khoảng 1 năm trở lại đây"
T7,Dark Trip-Hop AI,HG | Dark Trip-Hop AI,9,"1,470,904","163,434",<1 năm,Nhỏ,1,"Số kênh ít, tổng nhu cầu chưa lớn và view tập trung rất mạnh vào một kênh lớn → thị trường chưa phát triển rộng.",Rất cao,5,"Rất phù hợp AI, thiên về beat, ambience và âm thanh điện tử.",,,,,"Ít kênh, dễ sản xuất bằng AI, cho thấy còn khoảng trống; tuy nhiên tổng cầu hiện chưa lớn và view tập trung mạnh vào một kênh.",Trung bình khá,3,"Màu nhạc tối, lạ và thiên về atmosphere nên khá kén người nghe; phù hợp nhóm niche hơn là đại chúng.",9,,
T7,Reggae Deep Dub,HG | Reggae Deep Dub,17,"3,042,122","178,948",1-2 năm trước,Nhỏ đến trung bình,2,View phân bổ tương đối đều giữa nhiều kênh → thị trường đã hình thành khá rõ.,Rất cao,5,"Phù hợp AI cao, cấu trúc lặp và thiên về instrumental/effect.",,,Thấp,4,"Quy mô vừa, nhiều kênh có view ổn định, AI phù hợp cao và chưa thấy một kênh thống trị tuyệt đối → thuận lợi để thử nghiệm gia nhập.",Trung bình khá,3,"Nhịp reggae dễ nghe nhưng chất dub sâu, bass nặng và lặp nhiều nên vẫn tương đối kén gu.",14,,"Ít kênh làm thuần về dòng này, chủ yếu các video lẻ do DJ đánh. Những kênh làm thuần về dòng này phần lớn sử dụng nhạc AI nhưng đạt lượng views thấp do Dance Pop không còn tồn tại dưới dạng các video dài trên YouTube nữa. Dance Pop hiện nay thành công nhờ các đoạn hook 15-30 giây trên TikTok và YouTube Shorts."
T7,Reggae Gospel,HG | Reggae Gospel,35,"18,781,057","536,602",<1 năm,Khá lớn,3,"Lượng view vượt trội, cho thấy nhu cầu người xem mạnh và thị trường đã phát triển đáng kể.",Khá cao,4,"Khá phù hợp AI, nhưng phụ thuộc nhiều hơn vào vocal, ca từ và cảm xúc.",,,Cao,2,"Quy mô và nhu cầu rất lớn, nhiều kênh đạt view cao → tín hiệu thị trường tốt; tuy nhiên cạnh tranh cao hơn và yêu cầu vocal/nội dung tốt để nổi bật.",Cao,5,"Melody dễ tiếp cận hơn, có vocal và cảm xúc tích cực; khả năng tiếp cận số đông tốt hơn hai thị trường còn lại.",14,,
