video_id,handle,title,view_count,outlier_ratio,duration_band,age_days,vpd,published_at
KK_BozkAuYw,herblues1,Start Your Day With God | Blues Worship Songs | Prayer & Holy Spirit Peace,135502,516.1980952380952,1-3h,145,934.4965517241379,2026-03-20 13:00:47+00:00
3Pn0nztfF-U,holyspiritsoundblues,The Blood Still Covers Me~Ephesians 1:7 |Soulful Gospel Blues for Worship |Spirit Sound Gospel Blues,729828,484.1313432835821,1-6m,291,2508.0,2025-10-25 08:00:08+00:00
t8VhS17fy8k,holyspiritsoundblues,Powerful Psalm 91 Blues | Anointed Christian R&B & Gospel Blues | Uplifting Christian Blues Song,726564,481.96616915422885,1-6m,311,2336.2186495176848,2025-10-05 11:01:33+00:00
UUc37KP8OgM,stillworshipmusic,"When Fear Takes Over, Play This Gospel Blues #TrustInGod",3652301,474.0785306334372,1-6m,120,30435.841666666667,2026-04-14 11:00:50+00:00
OJ9d7AzkrLg,holygroove-1,Psalm 91 (Lyrics) | God My Refuge & Fortress | Christian Blues Song”,402338,413.92798353909467,6-30m,353,1139.7677053824364,2025-08-24 04:04:22+00:00
2UIcQVp7SMI,soulstringsblues-o1g,"When I Stop, God Moves | Gospel Blues of Faith and Trust",289357,385.8093333333333,30-60m,215,1345.846511627907,2026-01-10 01:16:03+00:00
G4HzYUFmOVc,bluesguy-h,Soulful Gospel blues #bluesgospel #music,1128571,356.40960050528975,Shorts,216,5224.865740740741,2026-01-08 17:05:53+00:00
tejxb9l9Br0,christianbluesgospel86,🌤️ When Heaven Touched Me ✝️ Christian Blues | Soulful Worship,148092,345.2027972027972,1-3h,285,519.6210526315789,2025-10-31 14:00:51+00:00
P4zDJR8DNRY,sacredrootsmusic,Soul Blues Gospel for the Broken | Deep Worship Songs,131155,338.0283505154639,1-3h,231,567.7705627705627,2025-12-24 16:00:42+00:00
jILjQaM-Vk8,graceroadblues,Deep Gospel Blues – Healing Music for the Weary Soul | Relaxing Christian Worship & Prayer,220345,326.6790214974055,1-3h,210,1049.2619047619048,2026-01-14 17:13:32+00:00
xA0i3G5DpXE,spiritflow-s2l,Music That Lifts the Weary Soul | Gospel Blues Worship | Prayer & Peace | Faith,256176,325.9236641221374,30-60m,271,945.2988929889299,2025-11-14 15:02:03+00:00
-hYjAMQVBZY,herblues1,From the Cross to the Crown | Gospel Blues | Hope & Strength in Today’s Battles,84882,323.36,30-60m,131,647.9541984732824,2026-04-03 17:00:00+00:00
_phbkRLZkVA,herblues1,"Lord, I’m Barely Holding On | Gospel Blues | Strength for Breaking Faith",83880,319.54285714285714,1-3h,79,1061.7721518987341,2026-05-25 10:24:20+00:00
DyrV7GUhN_g,faithbluesworship,✨Gospel Blues - Everlasting Grace – a heartfelt blend of Christian Blues and soulful,230306,319.2044352044352,,168,1370.8690476190477,2026-02-25 07:48:25+00:00
_ycC4y-4sYo,saltandlight-k2z,"Soul Saving ""BLUES"" Gospel Music: Modern Christian Praise and Worship Music PLAYLIST",1343374,315.0501876172608,30-60m,401,3350.059850374065,2025-07-07 08:53:51+00:00
nzM91L_-mrc,holyspiritsoundblues,The Blood Still Covers Me #bluescommunity #gospelmusic #christianmusic #bluesmusic #soulfulmusic,439219,291.3558872305141,Shorts,272,1614.7757352941176,2025-11-13 14:35:30+00:00
6rz6D787n0U,holygrooveofficial,This Psalm Sounds Like It Was Born in the Blues,1697203,291.1653799965689,30-60m,369,4599.466124661247,2025-08-08 11:01:57+00:00
dGU_14KuzBU,herblues1,He Healed What Nobody Saw | Gospel Blues | When You’re Hurting in Silence,73103,278.48761904761903,1-3h,131,558.0381679389313,2026-04-03 15:42:51+00:00
kancHVI_E8A,herblues1,I Didn’t Think I’d Make It to Today | Gospel Blues | Prayer When You Feel Like Giving Up,69413,264.4304761904762,1-3h,128,542.2890625,2026-04-06 13:01:23+00:00
M7hmlgMXgcs,radiomix-gospel,A Prayer For You — 27 Minutes of Healing Gospel Blues (Prayer Music),179756,253.89265536723164,6-30m,238,755.2773109243698,2025-12-17 05:06:36+00:00
3qkImqieGrQ,christiansoulblues,Everlasting Grace | Christian Blues | Soulful Worship,810407,253.64851330203442,6-30m,311,2605.8102893890677,2025-10-06 01:00:03+00:00
tJqoxyz6V70,gospelbluesroom,Gospel Blues Worship Collection | Songs of Hope and Redemption,120992,247.6806550665302,30-60m,297,407.38047138047136,2025-10-19 11:01:28+00:00
bAmeXzyip6Q,soulstringsblues-o1g,"Blues Gospel Psalms of Strength | Songs of Faith, Trust and Victory in God",177631,236.84133333333332,30-60m,221,803.7601809954751,2026-01-03 18:20:55+00:00
iMTiJkhV6LA,herblues1,"Lord, Set Me Free from This Struggle | Gospel Blues | Prayer for Deliverance & Freedom",61509,234.32,1-3h,114,539.5526315789474,2026-04-20 13:01:19+00:00
9EzzD2YS870,spiritflow-s2l,Gospel Blues to Change Your Day | Let the Blues Bring You God’s Peace,175063,222.7264631043257,30-60m,246,711.6382113821138,2025-12-09 15:00:17+00:00
BWJ5iu41MVA,deeprivergospel,The Power of Psalms in Blues – The Divine Essence of Psalms That Calms the Soul and Breaks Chains,132750,219.24029727497935,1-3h,245,541.8367346938776,2025-12-10 10:39:21+00:00
rXmrgL6mUf8,saltandlight-k2z,Uplifting R&B Gospel Music: Modern Christian Praise & Worship Music,914865,214.55558161350845,30-60m,410,2231.378048780488,2025-06-28 03:37:50+00:00
oGE0HRGlMTw,bluesguy-h,Blues of hope #soulmusic #bluesgospel #bluesmusic #music,675045,213.18332543818096,Shorts,205,3292.9024390243903,2026-01-19 18:30:34+00:00
bfXUFe2GayA,thearksound,Relaxing Gospel Blues 🎶 | Soulful Blues That Touch the Heart (Vol. 1),80685,199.9628252788104,3h+,185,436.13513513513516,2026-02-08 12:10:59+00:00
IZlF3Y_eKKk,holyspiritsoundblues,Psalm 23 Harmony for Weary Souls – Relaxing Gospel Blues for Comfort,300990,199.66169154228857,1-6m,315,955.5238095238095,2025-10-01 15:00:27+00:00
QRN27buF1ao,herblues1,I Can’t Face This Day Unprepared | Gospel Blues | Prayer to Put On God’s Full Armour,50189,191.19619047619048,1-3h,124,404.75,2026-04-10 13:00:54+00:00
BqEWOqis_8s,gospelblueshouses,Todo está en Sus manos | Blues Gospel para entregar preocupaciones en oración,205653,186.44877606527652,1-3h,205,1003.1853658536585,2026-01-19 15:15:02+00:00
Xh8ZaO1dxTU,thebrokenhallelujah,I Had A Talk With God 🙏  Powerful Gospel Blues Testimony  The Broken Hallelujah,1020833,186.11358249772107,6-30m,131,7792.618320610687,2026-04-03 14:30:00+00:00
OKPfQpXJFzs,graceroadblues,Deep Gospel Blues – Healing Music for the Weary Soul | Relaxing Christian Worship & Prayer,122711,181.9288361749444,1-3h,181,677.9613259668508,2026-02-12 17:00:41+00:00
a6YOpEKvBpE,thebrokenhallelujah,Touch Me Lord Jesus 🙏 | Powerful Gospel Blues Song | The Broken Hallelujah | Healing & Worship,992208,180.8948040109389,6-30m,134,7404.537313432836,2026-03-31 21:48:59+00:00
f0hpKFGAvk0,gospelbluesworshiphouse,Deep Gospel Blues – Healing Music for the Empty Soul | Calm Christian Worship Sounds,134561,172.95758354755785,1-3h,127,1059.5354330708662,2026-04-07 21:00:43+00:00
hHclGGSZ8Yk,gospelbluesroom,Deep Christian Worship Blues | Finding Peace in Every Song,83566,171.06653019447288,30-60m,294,284.23809523809524,2025-10-22 11:01:20+00:00
2y2CcCzAtyM,stillworshipmusic,Be Still | 100 Minutes of Relaxing Black Gospel Music for Rest & Prayer,1298849,168.5941069574247,1-3h,105,12369.990476190476,2026-04-29 14:00:05+00:00
WRcGIWBELiE,soulstringsblues-o1g,THIS SONG WILL CHANGE HOW YOU SEE PEOPLE — Gospel Blues,125147,166.86266666666666,30-60m,132,948.0833333333334,2026-04-02 03:57:13+00:00
6mrHpzBBSZU,marcusmoore-i8y,Heal My Soul | Soulful Worship Nonstop • Gospel Blues Prayer & Peace,417232,164.45880961765866,30-60m,115,3628.104347826087,2026-04-19 18:29:03+00:00
QMpT5KmaQys,saltandlight-k2z,"ASKING, SEEKING, KNOCKING | NEW Powerful R&B Gospel Song (Official Music) | Uplifting Worship Music",684208,160.46153846153845,6-30m,423,1617.513002364066,2025-06-15 07:00:33+00:00
5_1u__RDVsg,graceroadblues,Deep Gospel Blues – Healing Music for the Weary Soul | Relaxing Christian Worship & Prayer,103775,153.85470719051148,1-3h,174,596.4080459770115,2026-02-19 17:00:12+00:00
04j-ZQskFJM,biblebluesofficial,What if King David Sang the Blues? | Psalms in Blue (Full Album),285079,151.15535524920466,1-3h,352,809.8835227272727,2025-08-26 00:00:01+00:00
qRTpzkKYbz8,holygroove-1,Psalm 27 (Lyrics) | The Lord Is My Light & Salvation | Gospel Blues”,145648,149.84362139917695,1-6m,353,412.60056657223794,2025-08-24 04:13:33+00:00
5VdjXaFrhDg,heavenlybluesgospel,Somebody Been Praying For Me | Deep Gospel Blues | Grace & Mercy | Heavenly Blues Gospel,1211933,146.8653659718856,6-30m,185,6550.989189189189,2026-02-08 18:16:50+00:00
MYuTaM8Od0E,latinmusicgospel,Señor sana mi corazón ❤️ | Dame la victoria | Blues Gospel |Official Lyrics,78720,146.0482374768089,30-60m,88,894.5454545454545,2026-05-16 14:00:05+00:00
WOQeNZLbsOs,gospelbluesroom,Healing Christian Blues Worship | Songs of Peace and Strength,69746,142.77584442169908,30-60m,279,249.98566308243727,2025-11-06 11:01:06+00:00
5YZUSeeN3Tc,gospelblueshouses,Sangre que me da la paz | Spanish Gospel Blues cuando la mente no se detiene,155614,141.0825022665458,1-3h,125,1244.912,2026-04-09 13:15:00+00:00
