channel_id,handle,title,country,channel_age_months,subscriber_count,tot_view,n_vid,per_month,view_per_vid,med_view,med_vpd,views_per_month,months_to_100k,thumb_diversity,model,signals,tier,active,days_since_last
UCHubfWN9RFGziA-KgOk6ccg,bluesofgracevibes,Blues of Grace Vibes,US,3.9750328515111693,5810,874329,135,33.96198347107438,6476.511111111111,146.0,4.666666666666667,219136.55371900828,,0.037037037037037035,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,0
UCgZCr-ZoPWUHdkR3gm_D2wg,soulful-gospel-blues,Soulful Gospel Blues,US,4.303547963206308,5790,660462,121,28.116335877862596,5458.363636363636,328.0,7.1125,152990.74290076335,,0.03305785123966942,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,0
UCMSdbMkErOK1xnDBqqnGX9g,gospelbluessanctuarymusic,Gospel Blues Sanctuary,US,8.147174770039422,4520,584640,182,22.339032258064517,3212.3076923076924,750.5,7.139423076923077,71673.1893548387,,0.038461538461538464,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,1
UC0z46lOjLBoTWBgH5l21SOw,radiomix-gospel,Radio Mix Gospel,US,10.11826544021025,7090,563808,145,14.33051948051948,3888.3310344827587,457.0,3.837078651685393,55705.2,,0.04827586206896552,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),3-Đang lên,True,14
UCtsiNeEaSGN-mjTvBO5HgWg,latinmusicgospel,Latin Music Gospel,CO,5.519053876478318,6500,557137,43,7.791190476190477,12956.67441860465,551.0,5.724489795918367,100765.09714285715,,0.11627906976744186,hybrid,thumbnail đồng nhất · kênh trẻ (<18 tháng),3-Đang lên,True,3
UCrDKm0oqNeNFRoGa58nJfOQ,heavenlyatmosphere.c,HEAVENLY ATMOSPHERE,,2.890932982917214,5780,470808,42,14.52818181818182,11209.714285714286,1836.5,43.10782241014799,214186.9090909091,,0.09523809523809523,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,1
UCskpDIKcJgQ3ztuLN6nZ6mg,soulworshipprayer,Soul Worship and prayer,,1.6754270696452036,3180,456943,39,23.27764705882353,11716.48717948718,2769.0,150.64583333333334,270855.12,,0.10256410256410256,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,0
UCeRvlxAME0p2ieE6-0MFZBw,faithbluesworship,Faith & Blues Worship,US,7.522996057818659,3260,410345,56,7.443842794759826,7327.589285714285,721.5,5.996240601503759,54539.30812227075,,0.14285714285714285,hybrid,thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,77
UCiDUhgT6AhFLn-UVfdYTutg,christianbluesgospel86,Christian Blues Gospel,US,12.417871222076215,3730,367071,233,18.763280423280424,1575.412017167382,395.0,2.4930232558139536,29556.032063492064,,0.030042918454935622,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,4-Hụt hơi,True,42
UCLYconctUinx07TDnKADtPw,gracegospelblues,Grace Gospel Blues,US,2.7923784494086727,3440,364720,78,27.933176470588236,4675.897435897436,975.0,39.78819444444444,130531.37552941177,,0.02564102564102564,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,0
UC6FGTDRrcsQ7-obbmPio-Qg,gospelbluesprayer,Gospel Blues Prayer,US,4.106438896189225,3260,341694,105,25.569599999999998,3254.2285714285713,738.0,17.573170731707318,83044.94688,,0.06666666666666667,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,0
UCEyLTmPFxVyiA_xn83iT30w,gospelbluesworshiphouse,Gospel Blues Worship House,BR,7.884362680683311,2810,302724,45,5.7075000000000005,6727.2,433.0,8.61111111111111,38377.991,,0.06666666666666667,hybrid,thumbnail đồng nhất · kênh trẻ (<18 tháng),4-Hụt hơi,True,2
UCVAUM9hue5hPbk64iJbKaQg,deeprivergospel,Deep River Gospel,US,8.147174770039422,3960,270321,104,12.76516129032258,2599.2403846153848,563.5,4.062719506407214,74522.64338709677,,0.07692307692307693,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,2
UC-UrENo5l0Vh3ALXAP0iJ1g,thearksound,The Ark Sound,US,9.00131406044678,2360,258263,136,15.10890510948905,1898.9926470588234,367.0,3.4197612732095495,28805.127591240875,,0.058823529411764705,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),4-Hụt hơi,True,4
UCY9qo1KT3lJKMq1uxvpSQOQ,sacredrootsmusic,Sacred Roots Music,BR,7.818659658344283,2880,226591,96,12.278319327731094,2360.3229166666665,258.5,2.641995048483598,28969.159663865546,,0.0625,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,4-Hụt hơi,True,0
UCXseEYuU2-uBJk_arNPOdww,deepchristianblues,Deep Christian Blues,US,2.6938239159001314,1570,213992,82,30.44,2609.6585365853657,775.5,22.26336206896552,78826.23609756098,,0.06097560975609756,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,0
UCFGiAN9OM1OpW5bhJuJ3SBw,hopegospelblues,HOPE GOSPEL BLUES,US,0.6241787122207622,1040,152097,20,32.04210526315789,7604.85,4036.0,652.75,232752.2505263158,,0.15,ai-first,nhịp đăng dày (≥12 video/tháng) · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,0
UC8n2iZj9Z5LJ7Nn5WHdsrYA,soulhealingmusicgospelblues,Soul Healing Music • Gospel & Blues,US,6.898817345597897,1520,139914,88,12.755809523809525,1589.9318181818182,351.5,2.6250253987605405,20185.053904761906,,0.07954545454545454,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,4-Hụt hơi,True,0
UC2OCiT3jLGcZIWyecp1M5uQ,divinegraceworshiphouse,Divine Grace Worship House,,11.070959264126149,2100,134437,26,2.348486646884273,5170.653846153846,834.0,59.709030100334445,12051.530207715135,,0.07692307692307693,hybrid,thumbnail đồng nhất · kênh trẻ (<18 tháng),4-Hụt hơi,True,1
UCwrdajjXv-kQvXfyC9HVg7Q,thegospelblues,The Gospel Blues,US,196.97766097240472,1740,126197,35,0.1776851234156104,3605.6285714285714,1195.0,3.3304347826086955,640.575176784523,,0.17142857142857143,artist/rebroadcast,thiên mix dài,5-Ngừng hoạt động,False,318
UCl3bq7f62GoUR5ZySmGb8ww,graceinbluesgospel,Grace in Blues Gospel,,6.471747700394218,1270,120695,123,19.00568527918782,981.260162601626,602.0,4.402366863905326,22146.25888324873,,0.04065040650406504,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),5-Ngừng hoạt động,False,116
UCY2Hd2rcUTG9681PpgTPQgA,graceblueshaven,Grace Blues Haven,US,2.726675427069645,1270,114113,74,27.139277108433735,1542.0675675675675,375.5,13.560606060606062,41499.6221686747,,0.02702702702702703,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,4-Hụt hơi,True,0
UCEB4Vz6UxJFajnJ_HVTuvYA,godblessthemusic,BlessedSound,US,22.141918528252297,1910,100879,4,0.18065281899109795,25219.75,7358.5,24.527840368534378,4555.431810089021,,0.75,hybrid,thiên mix dài,4-Hụt hơi,True,77
UCaljwhl_QkMUcjWJfZrjw8A,bluesoffaith1,Blues of Faith,,9.165571616294349,1700,89408,71,7.746379928315413,1259.2676056338028,54.0,1.273972602739726,9742.218351254482,,0.08450704225352113,hybrid,thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,4-Hụt hơi,True,9
UCEqyl8K_ZZep7grQ8dmgzEw,louvorbluessingle,Louvor Blues,BR,7.424441524310118,3230,3426,18,2.424424778761062,190.33333333333334,129.0,0.6583857442348009,29863.121592920357,,0.3333333333333333,hybrid,kênh trẻ (<18 tháng),5-Ngừng hoạt động,False,127
